type,id_simulated,num_nodes,tour,cost,start,end,seconds
GA-N,61,9,"[2, 3, 7, 8, 1, 6, 0, 4, 5]",583,2024-09-29 02:39:51.920594,2024-09-29 02:39:51.948258,0.027664
B&B,62,9,"[0, 2, 8, 1, 5, 7, 6, 4, 3]",456,2024-09-29 02:39:51.948379,2024-09-29 02:39:51.966880,0.018501
GA-P,62,9,"[7, 5, 1, 8, 2, 0, 3, 4, 6]",456,2024-09-29 02:39:51.966994,2024-09-29 02:39:51.983968,0.016974
GA-N,62,9,"[5, 7, 6, 4, 3, 0, 2, 8, 1]",456,2024-09-29 02:39:51.984088,2024-09-29 02:39:52.015031,0.030943
B&B,63,9,"[0, 6, 3, 5, 1, 8, 4, 7, 2]",542,2024-09-29 02:39:52.015112,2024-09-29 02:39:52.061104,0.045992
GA-P,63,9,"[4, 5, 3, 7, 2, 0, 6, 1, 8]",542,2024-09-29 02:39:52.061224,2024-09-29 02:39:52.084457,0.023233
GA-N,63,9,"[1, 5, 3, 6, 0, 2, 7, 4, 8]",542,2024-09-29 02:39:52.084578,2024-09-29 02:39:52.102354,0.017776
B&B,64,9,"[0, 1, 6, 8, 3, 2, 7, 5, 4]",596,2024-09-29 02:39:52.102432,2024-09-29 02:39:52.127069,0.024637
GA-P,64,9,"[1, 0, 4, 5, 7, 2, 3, 8, 6]",596,2024-09-29 02:39:52.127182,2024-09-29 02:39:52.145556,0.018374
GA-N,64,9,"[6, 8, 3, 2, 7, 5, 4, 0, 1]",596,2024-09-29 02:39:52.145729,2024-09-29 02:39:52.161470,0.015741
B&B,65,9,"[0, 5, 3, 2, 4, 6, 1, 8, 7]",805,2024-09-29 02:39:52.161547,2024-09-29 02:39:52.220475,0.058928
GA-P,65,9,"[1, 6, 4, 2, 3, 5, 0, 7, 8]",805,2024-09-29 02:39:52.220600,2024-09-29 02:39:52.243555,0.022955
GA-N,65,9,"[6, 1, 8, 7, 0, 5, 3, 2, 4]",805,2024-09-29 02:39:52.243723,2024-09-29 02:39:52.261399,0.017676
B&B,66,9,"[0, 3, 6, 7, 2, 1, 8, 4, 5]",641,2024-09-29 02:39:52.261476,2024-09-29 02:39:52.303030,0.041554
GA-P,66,9,"[2, 7, 6, 3, 0, 5, 4, 8, 1]",641,2024-09-29 02:39:52.303201,2024-09-29 02:39:52.321944,0.018743
GA-N,66,9,"[4, 5, 0, 3, 6, 7, 2, 1, 8]",641,2024-09-29 02:39:52.322116,2024-09-29 02:39:52.344257,0.022141
B&B,67,9,"[0, 2, 1, 5, 8, 4, 6, 7, 3]",605,2024-09-29 02:39:52.344379,2024-09-29 02:39:52.370344,0.025965
GA-P,67,9,"[6, 4, 8, 5, 1, 2, 0, 3, 7]",605,2024-09-29 02:39:52.370516,2024-09-29 02:39:52.389297,0.018781
GA-N,67,9,"[7, 6, 4, 8, 5, 1, 2, 0, 3]",605,2024-09-29 02:39:52.389417,2024-09-29 02:39:52.406606,0.017189
B&B,68,9,"[0, 2, 7, 4, 3, 6, 8, 1, 5]",935,2024-09-29 02:39:52.406739,2024-09-29 02:39:52.480124,0.073385
GA-P,68,9,"[2, 7, 4, 3, 6, 8, 1, 5, 0]",935,2024-09-29 02:39:52.480256,2024-09-29 02:39:52.513674,0.033418
GA-N,68,9,"[2, 7, 4, 3, 6, 8, 1, 5, 0]",935,2024-09-29 02:39:52.513797,2024-09-29 02:39:52.531349,0.017552
B&B,69,9,"[0, 8, 2, 1, 7, 6, 4, 5, 3]",500,2024-09-29 02:39:52.531476,2024-09-29 02:39:52.558747,0.027271
GA-P,69,9,"[5, 4, 6, 7, 1, 2, 8, 0, 3]",500,2024-09-29 02:39:52.558923,2024-09-29 02:39:52.578052,0.019129
GA-N,69,9,"[7, 6, 4, 5, 3, 0, 8, 2, 1]",500,2024-09-29 02:39:52.578169,2024-09-29 02:39:52.595717,0.017548
B&B,70,10,"[0, 4, 1, 8, 3, 2, 9, 6, 5, 7]",437,2024-09-29 02:39:52.595892,2024-09-29 02:39:52.641714,0.045822
GA-P,70,10,"[8, 3, 2, 9, 6, 5, 7, 0, 4, 1]",437,2024-09-29 02:39:52.641879,2024-09-29 02:39:52.686093,0.044214
GA-N,70,10,"[9, 6, 8, 1, 5, 7, 0, 4, 3, 2]",468,2024-09-29 02:39:52.686244,2024-09-29 02:39:52.713472,0.027228
B&B,71,10,"[0, 3, 9, 5, 7, 1, 4, 8, 6, 2]",432,2024-09-29 02:39:52.713618,2024-09-29 02:39:52.802056,0.088438
GA-P,71,10,"[9, 3, 0, 2, 6, 8, 4, 1, 7, 5]",432,2024-09-29 02:39:52.802236,2024-09-29 02:39:52.838311,0.036075
GA-N,71,10,"[2, 0, 3, 9, 5, 7, 1, 4, 8, 6]",432,2024-09-29 02:39:52.838464,2024-09-29 02:39:52.867932,0.029468
B&B,72,10,"[0, 1, 9, 4, 7, 8, 5, 6, 2, 3]",379,2024-09-29 02:39:52.868075,2024-09-29 02:39:52.934305,0.06623
GA-P,72,10,"[6, 5, 8, 7, 4, 9, 1, 0, 3, 2]",379,2024-09-29 02:39:52.934453,2024-09-29 02:39:52.961668,0.027215
GA-N,72,10,"[0, 1, 9, 4, 7, 8, 5, 6, 2, 3]",379,2024-09-29 02:39:52.961823,2024-09-29 02:39:52.998478,0.036655
B&B,73,10,"[0, 6, 4, 1, 5, 2, 3, 8, 9, 7]",495,2024-09-29 02:39:52.998569,2024-09-29 02:39:53.070997,0.072428
GA-P,73,10,"[2, 5, 1, 4, 6, 0, 7, 9, 8, 3]",495,2024-09-29 02:39:53.071155,2024-09-29 02:39:53.099022,0.027867
GA-N,73,10,"[5, 2, 3, 8, 9, 7, 0, 6, 4, 1]",495,2024-09-29 02:39:53.099173,2024-09-29 02:39:53.132502,0.033329
B&B,74,10,"[0, 8, 4, 6, 3, 7, 2, 9, 1, 5]",662,2024-09-29 02:39:53.132652,2024-09-29 02:39:53.228162,0.09551
GA-P,74,10,"[2, 7, 3, 6, 4, 8, 0, 5, 1, 9]",662,2024-09-29 02:39:53.228319,2024-09-29 02:39:53.261096,0.032777
GA-N,74,10,"[8, 4, 6, 3, 7, 2, 9, 1, 5, 0]",662,2024-09-29 02:39:53.261255,2024-09-29 02:39:53.285838,0.024583
B&B,75,10,"[0, 9, 8, 7, 5, 1, 4, 6, 3, 2]",521,2024-09-29 02:39:53.285975,2024-09-29 02:39:53.321764,0.035789
GA-P,75,10,"[8, 7, 5, 1, 4, 6, 3, 2, 0, 9]",521,2024-09-29 02:39:53.321915,2024-09-29 02:39:53.363784,0.041869
GA-N,75,10,"[4, 6, 3, 2, 1, 5, 7, 0, 9, 8]",570,2024-09-29 02:39:53.363940,2024-09-29 02:39:53.390013,0.026073
B&B,76,10,"[0, 1, 8, 2, 6, 7, 5, 4, 9, 3]",633,2024-09-29 02:39:53.390146,2024-09-29 02:39:53.499272,0.109126
GA-P,76,10,"[8, 1, 0, 3, 9, 4, 5, 7, 6, 2]",633,2024-09-29 02:39:53.499437,2024-09-29 02:39:53.525622,0.026185
GA-N,76,10,"[2, 3, 0, 1, 8, 9, 4, 5, 7, 6]",644,2024-09-29 02:39:53.525778,2024-09-29 02:39:53.547452,0.021674
B&B,77,10,"[0, 4, 6, 1, 7, 9, 3, 5, 2, 8]",984,2024-09-29 02:39:53.547543,2024-09-29 02:39:53.950571,0.403028
GA-P,77,10,"[0, 4, 6, 1, 7, 9, 3, 5, 2, 8]",984,2024-09-29 02:39:53.950757,2024-09-29 02:39:53.978639,0.027882
GA-N,77,10,"[4, 0, 8, 2, 5, 3, 9, 7, 1, 6]",984,2024-09-29 02:39:53.978792,2024-09-29 02:39:54.002108,0.023316
B&B,78,10,"[0, 5, 6, 7, 4, 9, 2, 8, 3, 1]",479,2024-09-29 02:39:54.002199,2024-09-29 02:39:54.114650,0.112451
GA-P,78,10,"[7, 4, 9, 2, 8, 3, 1, 0, 5, 6]",479,2024-09-29 02:39:54.114835,2024-09-29 02:39:54.148785,0.03395
GA-N,78,10,"[4, 9, 2, 8, 3, 1, 0, 5, 6, 7]",479,2024-09-29 02:39:54.149009,2024-09-29 02:39:54.204456,0.055447
B&B,79,10,"[0, 2, 4, 1, 7, 3, 8, 9, 6, 5]",798,2024-09-29 02:39:54.204618,2024-09-29 02:39:54.502353,0.297735
GA-P,79,10,"[0, 2, 4, 1, 7, 3, 8, 9, 6, 5]",798,2024-09-29 02:39:54.502527,2024-09-29 02:39:54.538781,0.036254
GA-N,79,10,"[4, 0, 2, 6, 5, 8, 9, 3, 7, 1]",810,2024-09-29 02:39:54.538947,2024-09-29 02:39:54.565076,0.026129
B&B,80,11,"[0, 4, 9, 7, 10, 8, 3, 1, 6, 5, 2]",687,2024-09-29 02:39:54.565179,2024-09-29 02:39:54.969996,0.404817
GA-P,80,11,"[4, 10, 7, 9, 0, 2, 5, 6, 8, 3, 1]",695,2024-09-29 02:39:54.970197,2024-09-29 02:39:55.010725,0.040528
GA-N,80,11,"[8, 10, 7, 9, 4, 0, 2, 5, 6, 1, 3]",687,2024-09-29 02:39:55.010906,2024-09-29 02:39:55.071513,0.060607
B&B,81,11,"[0, 7, 1, 3, 9, 10, 2, 6, 8, 4, 5]",540,2024-09-29 02:39:55.071622,2024-09-29 02:39:55.223956,0.152334
GA-P,81,11,"[6, 8, 4, 5, 0, 7, 1, 3, 9, 10, 2]",540,2024-09-29 02:39:55.224149,2024-09-29 02:39:55.269147,0.044998
GA-N,81,11,"[9, 5, 4, 8, 6, 3, 1, 0, 7, 2, 10]",622,2024-09-29 02:39:55.269324,2024-09-29 02:39:55.295836,0.026512
B&B,82,11,"[0, 3, 2, 8, 9, 1, 4, 10, 6, 7, 5]",750,2024-09-29 02:39:55.295943,2024-09-29 02:39:56.086254,0.790311
GA-P,82,11,"[9, 8, 2, 3, 0, 5, 7, 6, 10, 4, 1]",750,2024-09-29 02:39:56.086486,2024-09-29 02:39:56.140959,0.054473
GA-N,82,11,"[5, 7, 6, 10, 4, 1, 9, 8, 2, 3, 0]",750,2024-09-29 02:39:56.141147,2024-09-29 02:39:56.183629,0.042482
B&B,83,11,"[0, 2, 3, 1, 8, 4, 9, 6, 5, 10, 7]",593,2024-09-29 02:39:56.183735,2024-09-29 02:39:56.315902,0.132167
GA-P,83,11,"[0, 2, 3, 1, 8, 4, 9, 6, 5, 10, 7]",593,2024-09-29 02:39:56.316241,2024-09-29 02:39:56.350013,0.033772
GA-N,83,11,"[1, 8, 10, 7, 5, 6, 9, 4, 2, 0, 3]",673,2024-09-29 02:39:56.350193,2024-09-29 02:39:56.389346,0.039153
B&B,84,11,"[0, 7, 9, 2, 6, 10, 8, 3, 1, 4, 5]",444,2024-09-29 02:39:56.389449,2024-09-29 02:39:56.489118,0.099669
GA-P,84,11,"[8, 10, 6, 1, 4, 5, 9, 2, 7, 0, 3]",526,2024-09-29 02:39:56.489306,2024-09-29 02:39:56.521578,0.032272
GA-N,84,11,"[2, 7, 0, 3, 1, 6, 10, 8, 4, 5, 9]",477,2024-09-29 02:39:56.521957,2024-09-29 02:39:56.551393,0.029436
B&B,85,11,"[0, 7, 3, 4, 2, 1, 9, 8, 6, 10, 5]",379,2024-09-29 02:39:56.551495,2024-09-29 02:39:56.642353,0.090858
GA-P,85,11,"[6, 7, 0, 4, 2, 3, 10, 5, 1, 9, 8]",483,2024-09-29 02:39:56.642610,2024-09-29 02:39:56.691170,0.04856
GA-N,85,11,"[8, 9, 1, 0, 7, 5, 10, 3, 2, 4, 6]",488,2024-09-29 02:39:56.691352,2024-09-29 02:39:56.720898,0.029546
B&B,86,11,"[0, 3, 2, 8, 7, 9, 5, 10, 1, 6, 4]",518,2024-09-29 02:39:56.721000,2024-09-29 02:39:57.124430,0.40343
GA-P,86,11,"[4, 6, 2, 8, 7, 9, 10, 1, 5, 0, 3]",521,2024-09-29 02:39:57.124644,2024-09-29 02:39:57.166762,0.042118
GA-N,86,11,"[10, 1, 6, 4, 0, 3, 2, 8, 7, 9, 5]",518,2024-09-29 02:39:57.166950,2024-09-29 02:39:57.202155,0.035205
B&B,87,11,"[0, 7, 6, 2, 4, 9, 1, 8, 10, 3, 5]",749,2024-09-29 02:39:57.202263,2024-09-29 02:39:58.017485,0.815222
GA-P,87,11,"[7, 0, 8, 1, 9, 5, 3, 10, 4, 2, 6]",757,2024-09-29 02:39:58.017702,2024-09-29 02:39:58.061274,0.043572
GA-N,87,11,"[5, 9, 1, 2, 6, 8, 0, 7, 4, 10, 3]",779,2024-09-29 02:39:58.061471,2024-09-29 02:39:58.094946,0.033475
B&B,88,11,"[0, 8, 10, 1, 9, 4, 5, 3, 7, 2, 6]",687,2024-09-29 02:39:58.095060,2024-09-29 02:39:58.662870,0.56781
GA-P,88,11,"[5, 3, 7, 2, 10, 1, 9, 6, 0, 8, 4]",702,2024-09-29 02:39:58.663215,2024-09-29 02:39:58.699213,0.035998
GA-N,88,11,"[3, 1, 9, 4, 5, 6, 0, 8, 10, 2, 7]",766,2024-09-29 02:39:58.699398,2024-09-29 02:39:58.731579,0.032181
B&B,89,11,"[0, 3, 9, 8, 4, 10, 7, 1, 2, 5, 6]",622,2024-09-29 02:39:58.731685,2024-09-29 02:39:59.236849,0.505164
GA-P,89,11,"[9, 7, 1, 2, 5, 6, 0, 10, 4, 8, 3]",633,2024-09-29 02:39:59.237081,2024-09-29 02:39:59.273598,0.036517
GA-N,89,11,"[10, 0, 3, 9, 7, 1, 2, 5, 6, 8, 4]",655,2024-09-29 02:39:59.273855,2024-09-29 02:39:59.302738,0.028883
B&B,90,12,"[0, 6, 8, 1, 7, 10, 2, 4, 3, 5, 11, 9]",659,2024-09-29 02:39:59.302861,2024-09-29 02:40:01.040852,1.737991
GA-P,90,12,"[5, 7, 1, 8, 6, 0, 11, 9, 4, 2, 10, 3]",745,2024-09-29 02:40:01.041110,2024-09-29 02:40:01.086112,0.045002
GA-N,90,12,"[2, 10, 7, 1, 8, 6, 0, 3, 5, 11, 9, 4]",721,2024-09-29 02:40:01.086336,2024-09-29 02:40:01.143459,0.057123
B&B,91,12,"[0, 5, 8, 11, 4, 3, 1, 7, 6, 9, 2, 10]",486,2024-09-29 02:40:01.143578,2024-09-29 02:40:01.864819,0.721241
GA-P,91,12,"[7, 6, 9, 5, 0, 10, 2, 11, 8, 4, 3, 1]",487,2024-09-29 02:40:01.865077,2024-09-29 02:40:01.935694,0.070617
GA-N,91,12,"[8, 5, 10, 2, 9, 6, 7, 1, 0, 3, 4, 11]",488,2024-09-29 02:40:01.935915,2024-09-29 02:40:02.002889,0.066974
B&B,92,12,"[0, 4, 11, 2, 10, 3, 1, 5, 9, 6, 7, 8]",433,2024-09-29 02:40:02.003076,2024-09-29 02:40:02.204715,0.201639
GA-P,92,12,"[7, 6, 2, 9, 5, 1, 3, 10, 11, 4, 0, 8]",531,2024-09-29 02:40:02.204981,2024-09-29 02:40:02.246767,0.041786
GA-N,92,12,"[8, 7, 6, 2, 11, 4, 0, 10, 3, 1, 5, 9]",499,2024-09-29 02:40:02.246991,2024-09-29 02:40:02.310001,0.06301
B&B,93,12,"[0, 4, 9, 3, 1, 5, 8, 7, 6, 2, 10, 11]",656,2024-09-29 02:40:02.310185,2024-09-29 02:40:03.242308,0.932123
GA-P,93,12,"[3, 1, 5, 8, 7, 6, 2, 10, 11, 0, 4, 9]",656,2024-09-29 02:40:03.242570,2024-09-29 02:40:03.290535,0.047965
GA-N,93,12,"[5, 8, 7, 6, 2, 10, 11, 0, 4, 9, 3, 1]",656,2024-09-29 02:40:03.290756,2024-09-29 02:40:03.353086,0.06233
B&B,94,12,"[0, 1, 5, 7, 10, 9, 3, 6, 4, 8, 2, 11]",656,2024-09-29 02:40:03.353210,2024-09-29 02:40:04.718740,1.36553
GA-P,94,12,"[5, 1, 0, 11, 2, 9, 10, 7, 8, 4, 3, 6]",685,2024-09-29 02:40:04.719003,2024-09-29 02:40:04.762195,0.043192
GA-N,94,12,"[5, 0, 1, 2, 11, 7, 8, 4, 10, 9, 3, 6]",766,2024-09-29 02:40:04.762472,2024-09-29 02:40:04.842976,0.080504
B&B,95,12,"[0, 7, 6, 5, 3, 1, 11, 10, 4, 9, 2, 8]",543,2024-09-29 02:40:04.843157,2024-09-29 02:40:05.461138,0.617981
GA-P,95,12,"[0, 9, 4, 10, 5, 3, 1, 11, 8, 2, 6, 7]",608,2024-09-29 02:40:05.461398,2024-09-29 02:40:05.507171,0.045773
GA-N,95,12,"[11, 1, 3, 5, 6, 7, 0, 8, 2, 9, 4, 10]",543,2024-09-29 02:40:05.507451,2024-09-29 02:40:05.552865,0.045414
B&B,96,12,"[0, 6, 11, 9, 2, 5, 4, 1, 10, 8, 3, 7]",610,2024-09-29 02:40:05.552984,2024-09-29 02:40:06.823911,1.270927
GA-P,96,12,"[10, 8, 3, 7, 0, 6, 1, 4, 11, 9, 2, 5]",618,2024-09-29 02:40:06.824163,2024-09-29 02:40:06.878632,0.054469
GA-N,96,12,"[9, 11, 4, 1, 10, 6, 0, 7, 3, 8, 5, 2]",615,2024-09-29 02:40:06.878857,2024-09-29 02:40:06.916816,0.037959
B&B,97,12,"[0, 1, 11, 6, 3, 8, 9, 5, 7, 2, 4, 10]",648,2024-09-29 02:40:06.916940,2024-09-29 02:40:08.144779,1.227839
GA-P,97,12,"[9, 8, 3, 6, 11, 1, 0, 10, 4, 2, 7, 5]",648,2024-09-29 02:40:08.145050,2024-09-29 02:40:08.193364,0.048314
GA-N,97,12,"[8, 9, 5, 3, 6, 11, 1, 7, 2, 4, 0, 10]",681,2024-09-29 02:40:08.193583,2024-09-29 02:40:08.242493,0.04891
B&B,98,12,"[0, 5, 4, 8, 7, 10, 2, 9, 1, 6, 11, 3]",822,2024-09-29 02:40:08.242609,2024-09-29 02:40:12.491118,4.248509
GA-P,98,12,"[2, 10, 7, 8, 4, 5, 0, 3, 11, 6, 1, 9]",822,2024-09-29 02:40:12.491382,2024-09-29 02:40:12.540352,0.04897
GA-N,98,12,"[5, 0, 3, 11, 6, 1, 9, 2, 10, 7, 8, 4]",822,2024-09-29 02:40:12.540566,2024-09-29 02:40:12.652611,0.112045
B&B,99,12,"[0, 6, 2, 1, 5, 10, 3, 9, 7, 4, 8, 11]",673,2024-09-29 02:40:12.652802,2024-09-29 02:40:14.752756,2.099954
GA-P,99,12,"[5, 1, 2, 6, 0, 11, 8, 4, 7, 9, 3, 10]",673,2024-09-29 02:40:14.753016,2024-09-29 02:40:14.882490,0.129474
GA-N,99,12,"[9, 3, 10, 5, 1, 2, 6, 0, 11, 8, 4, 7]",673,2024-09-29 02:40:14.882707,2024-09-29 02:40:14.945909,0.063202
B&B,100,13,"[0, 9, 3, 11, 10, 1, 8, 7, 2, 6, 12, 4, 5]",736,2024-09-29 02:40:14.946039,2024-09-29 02:40:28.467697,13.521658
GA-P,100,13,"[8, 1, 10, 11, 3, 9, 0, 5, 4, 12, 6, 2, 7]",736,2024-09-29 02:40:28.468001,2024-09-29 02:40:28.609990,0.141989
GA-N,100,13,"[7, 12, 6, 0, 9, 3, 2, 4, 11, 10, 1, 5, 8]",818,2024-09-29 02:40:28.610231,2024-09-29 02:40:28.672946,0.062715
B&B,101,13,"[0, 5, 3, 11, 12, 8, 1, 7, 4, 10, 9, 6, 2]",670,2024-09-29 02:40:28.673260,2024-09-29 02:40:33.393404,4.720144
GA-P,101,13,"[9, 6, 2, 0, 12, 5, 3, 11, 8, 1, 7, 4, 10]",755,2024-09-29 02:40:33.393706,2024-09-29 02:40:33.459319,0.065613
GA-N,101,13,"[7, 1, 8, 12, 5, 0, 2, 6, 9, 10, 4, 3, 11]",686,2024-09-29 02:40:33.459612,2024-09-29 02:40:33.526230,0.066618
B&B,102,13,"[0, 11, 1, 12, 3, 2, 8, 9, 6, 10, 4, 7, 5]",741,2024-09-29 02:40:33.526359,2024-09-29 02:40:37.863295,4.336936
GA-P,102,13,"[7, 10, 6, 3, 12, 9, 8, 2, 5, 0, 1, 11, 4]",851,2024-09-29 02:40:37.863727,2024-09-29 02:40:37.916998,0.053271
GA-N,102,13,"[2, 1, 11, 4, 10, 7, 8, 9, 6, 12, 3, 0, 5]",769,2024-09-29 02:40:37.917280,2024-09-29 02:40:37.980387,0.063107
B&B,103,13,"[0, 11, 8, 10, 9, 2, 6, 3, 4, 7, 12, 1, 5]",378,2024-09-29 02:40:37.980530,2024-09-29 02:40:38.736650,0.75612
GA-P,103,13,"[5, 2, 9, 10, 8, 11, 7, 12, 1, 3, 6, 4, 0]",457,2024-09-29 02:40:38.736955,2024-09-29 02:40:38.796719,0.059764
GA-N,103,13,"[1, 12, 7, 2, 9, 10, 8, 11, 6, 3, 4, 0, 5]",456,2024-09-29 02:40:38.796972,2024-09-29 02:40:38.892692,0.09572
B&B,104,13,"[0, 5, 2, 8, 3, 7, 12, 4, 1, 6, 9, 11, 10]",703,2024-09-29 02:40:38.892823,2024-09-29 02:40:45.199357,6.306534
GA-P,104,13,"[11, 10, 0, 5, 2, 4, 12, 7, 3, 8, 1, 6, 9]",714,2024-09-29 02:40:45.199659,2024-09-29 02:40:45.334741,0.135082
GA-N,104,13,"[9, 3, 7, 5, 2, 8, 11, 10, 0, 4, 12, 1, 6]",807,2024-09-29 02:40:45.335069,2024-09-29 02:40:45.383218,0.048149
B&B,105,13,"[0, 5, 10, 4, 11, 8, 1, 9, 7, 3, 12, 6, 2]",558,2024-09-29 02:40:45.383356,2024-09-29 02:40:46.990985,1.607629
GA-P,105,13,"[12, 3, 8, 11, 6, 2, 0, 1, 9, 7, 5, 4, 10]",762,2024-09-29 02:40:46.991284,2024-09-29 02:40:47.046273,0.054989
GA-N,105,13,"[9, 7, 3, 12, 6, 2, 0, 5, 10, 4, 11, 8, 1]",558,2024-09-29 02:40:47.046510,2024-09-29 02:40:47.238077,0.191567
B&B,106,13,"[0, 2, 7, 5, 6, 12, 10, 3, 9, 8, 1, 11, 4]",594,2024-09-29 02:40:47.238495,2024-09-29 02:40:50.383500,3.145005
GA-P,106,13,"[12, 6, 11, 1, 8, 2, 7, 5, 4, 0, 9, 3, 10]",633,2024-09-29 02:40:50.383799,2024-09-29 02:40:50.491980,0.108181
GA-N,106,13,"[8, 0, 4, 12, 6, 5, 7, 2, 3, 10, 9, 11, 1]",686,2024-09-29 02:40:50.492234,2024-09-29 02:40:50.543693,0.051459
B&B,107,13,"[0, 1, 9, 10, 11, 2, 7, 4, 8, 5, 6, 12, 3]",584,2024-09-29 02:40:50.543891,2024-09-29 02:40:53.136056,2.592165
GA-P,107,13,"[12, 3, 0, 1, 9, 10, 11, 6, 5, 8, 4, 7, 2]",656,2024-09-29 02:40:53.136349,2024-09-29 02:40:53.192864,0.056515
GA-N,107,13,"[3, 12, 6, 5, 8, 1, 4, 7, 2, 11, 10, 9, 0]",631,2024-09-29 02:40:53.193122,2024-09-29 02:40:53.240870,0.047748
B&B,108,13,"[0, 5, 8, 12, 7, 3, 10, 6, 11, 2, 9, 1, 4]",693,2024-09-29 02:40:53.241000,2024-09-29 02:40:57.208935,3.967935
GA-P,108,13,"[12, 7, 3, 10, 8, 5, 0, 6, 11, 2, 9, 1, 4]",739,2024-09-29 02:40:57.209420,2024-09-29 02:40:57.259897,0.050477
GA-N,108,13,"[1, 9, 2, 11, 6, 10, 8, 5, 0, 4, 12, 3, 7]",718,2024-09-29 02:40:57.260149,2024-09-29 02:40:57.344434,0.084285
B&B,109,13,"[0, 3, 10, 1, 4, 12, 5, 7, 6, 11, 9, 2, 8]",529,2024-09-29 02:40:57.344569,2024-09-29 02:40:59.122036,1.777467
GA-P,109,13,"[7, 4, 12, 11, 6, 0, 9, 2, 8, 1, 10, 3, 5]",540,2024-09-29 02:40:59.122319,2024-09-29 02:40:59.178218,0.055899
GA-N,109,13,"[10, 3, 11, 6, 7, 5, 12, 4, 2, 9, 0, 8, 1]",597,2024-09-29 02:40:59.178469,2024-09-29 02:40:59.246347,0.067878
B&B,110,14,"[0, 7, 8, 11, 12, 9, 6, 3, 1, 4, 13, 10, 2, 5]",750,2024-09-29 02:40:59.246561,2024-09-29 02:42:01.041671,61.79511
GA-P,110,14,"[12, 3, 1, 11, 8, 4, 13, 10, 9, 6, 5, 2, 0, 7]",844,2024-09-29 02:42:01.042022,2024-09-29 02:42:01.179987,0.137965
GA-N,110,14,"[11, 1, 3, 6, 9, 10, 13, 4, 12, 7, 2, 5, 0, 8]",770,2024-09-29 02:42:01.180354,2024-09-29 02:42:01.267898,0.087544
B&B,111,14,"[0, 10, 13, 12, 5, 4, 6, 9, 11, 2, 3, 7, 8, 1]",501,2024-09-29 02:42:01.268245,2024-09-29 02:42:05.508683,4.240438
GA-P,111,14,"[13, 10, 0, 1, 8, 7, 3, 2, 11, 9, 6, 4, 5, 12]",501,2024-09-29 02:42:05.509029,2024-09-29 02:42:05.565419,0.05639
GA-N,111,14,"[8, 1, 0, 10, 9, 2, 3, 11, 13, 12, 6, 4, 5, 7]",538,2024-09-29 02:42:05.565695,2024-09-29 02:42:05.651658,0.085963
B&B,112,14,"[0, 5, 10, 12, 9, 4, 3, 7, 1, 13, 8, 6, 11, 2]",630,2024-09-29 02:42:05.651874,2024-09-29 02:42:14.583891,8.932017
GA-P,112,14,"[9, 4, 3, 7, 1, 13, 8, 6, 11, 2, 0, 5, 10, 12]",630,2024-09-29 02:42:14.584234,2024-09-29 02:42:14.668407,0.084173
GA-N,112,14,"[12, 10, 5, 0, 11, 6, 8, 13, 1, 9, 4, 7, 3, 2]",702,2024-09-29 02:42:14.668722,2024-09-29 02:42:14.732709,0.063987
