type,id_simulated,num_nodes,tour,cost,start,end,seconds
B&B,113,14,"[0, 3, 11, 5, 9, 8, 4, 2, 6, 7, 12, 10, 13, 1]",767,2024-09-29 02:42:14.732859,2024-09-29 02:43:03.264170,48.531311
GA-P,113,14,"[6, 2, 4, 8, 9, 5, 11, 3, 0, 1, 13, 10, 12, 7]",767,2024-09-29 02:43:03.264646,2024-09-29 02:43:03.331955,0.067309
GA-N,113,14,"[6, 7, 12, 0, 3, 11, 5, 10, 13, 1, 9, 8, 4, 2]",866,2024-09-29 02:43:03.332302,2024-09-29 02:43:03.393628,0.061326
B&B,114,14,"[0, 12, 6, 4, 9, 8, 2, 5, 13, 3, 10, 1, 7, 11]",640,2024-09-29 02:43:03.393879,2024-09-29 02:43:22.961490,19.567611
GA-P,114,14,"[13, 3, 10, 1, 4, 6, 12, 0, 11, 7, 8, 9, 2, 5]",654,2024-09-29 02:43:22.961837,2024-09-29 02:43:23.057371,0.095534
GA-N,114,14,"[12, 0, 13, 5, 2, 8, 9, 3, 10, 1, 7, 11, 4, 6]",661,2024-09-29 02:43:23.057654,2024-09-29 02:43:23.138119,0.080465
B&B,115,14,"[0, 13, 6, 8, 12, 7, 2, 11, 10, 4, 3, 5, 9, 1]",671,2024-09-29 02:43:23.138340,2024-09-29 02:43:35.714766,12.576426
GA-P,115,14,"[10, 4, 3, 5, 9, 1, 0, 2, 7, 8, 12, 13, 6, 11]",821,2024-09-29 02:43:35.715144,2024-09-29 02:43:35.808691,0.093547
GA-N,115,14,"[7, 8, 12, 3, 10, 4, 9, 5, 6, 13, 0, 1, 11, 2]",736,2024-09-29 02:43:35.808967,2024-09-29 02:43:35.866168,0.057201
B&B,116,14,"[0, 9, 4, 6, 3, 11, 1, 5, 10, 13, 2, 12, 8, 7]",712,2024-09-29 02:43:35.866310,2024-09-29 02:44:01.547786,25.681476
GA-P,116,14,"[12, 1, 0, 7, 8, 13, 10, 5, 3, 11, 9, 4, 6, 2]",735,2024-09-29 02:44:01.548136,2024-09-29 02:44:01.636285,0.088149
GA-N,116,14,"[7, 0, 11, 9, 4, 6, 3, 5, 1, 12, 2, 13, 10, 8]",730,2024-09-29 02:44:01.636597,2024-09-29 02:44:01.754706,0.118109
B&B,117,14,"[0, 7, 4, 6, 3, 1, 5, 12, 8, 10, 11, 2, 13, 9]",443,2024-09-29 02:44:01.755082,2024-09-29 02:44:04.736607,2.981525
GA-P,117,14,"[10, 11, 2, 5, 1, 3, 6, 4, 7, 0, 13, 9, 12, 8]",462,2024-09-29 02:44:04.736951,2024-09-29 02:44:04.830438,0.093487
GA-N,117,14,"[4, 7, 0, 9, 13, 2, 11, 1, 5, 6, 3, 12, 8, 10]",531,2024-09-29 02:44:04.830724,2024-09-29 02:44:04.918115,0.087391
B&B,118,14,"[0, 7, 1, 8, 11, 9, 2, 4, 13, 10, 5, 12, 3, 6]",660,2024-09-29 02:44:04.918253,2024-09-29 02:44:52.022453,47.1042
GA-P,118,14,"[5, 10, 7, 1, 8, 2, 9, 11, 4, 13, 0, 6, 3, 12]",730,2024-09-29 02:44:52.022804,2024-09-29 02:44:52.110500,0.087696
GA-N,118,14,"[4, 11, 9, 2, 8, 1, 7, 0, 6, 3, 12, 5, 10, 13]",660,2024-09-29 02:44:52.110789,2024-09-29 02:44:52.191636,0.080847
B&B,119,14,"[0, 6, 10, 13, 8, 7, 9, 5, 11, 3, 12, 4, 1, 2]",633,2024-09-29 02:44:52.191776,2024-09-29 02:45:03.308755,11.116979
GA-P,119,14,"[7, 10, 13, 8, 2, 0, 6, 9, 5, 1, 4, 12, 3, 11]",705,2024-09-29 02:45:03.309113,2024-09-29 02:45:03.384668,0.075555
GA-N,119,14,"[0, 2, 13, 8, 7, 10, 11, 3, 12, 4, 1, 5, 9, 6]",710,2024-09-29 02:45:03.385035,2024-09-29 02:45:03.463846,0.078811
B&B,120,15,"[0, 2, 10, 1, 13, 5, 11, 14, 6, 4, 9, 3, 12, 7, 8]",646,2024-09-29 02:45:03.464071,2024-09-29 02:45:20.108485,16.644414
GA-P,120,15,"[10, 2, 0, 8, 7, 12, 3, 9, 4, 6, 14, 11, 5, 13, 1]",646,2024-09-29 02:45:20.108865,2024-09-29 02:45:20.221201,0.112336
GA-N,120,15,"[3, 10, 2, 0, 8, 12, 7, 1, 13, 5, 11, 14, 6, 4, 9]",686,2024-09-29 02:45:20.221584,2024-09-29 02:45:20.340819,0.119235
B&B,121,15,"[0, 10, 5, 14, 13, 11, 3, 1, 6, 4, 8, 7, 12, 9, 2]",798,2024-09-29 02:45:20.341152,2024-09-29 02:47:43.018021,142.676869
GA-P,121,15,"[13, 11, 3, 1, 6, 4, 10, 0, 2, 8, 7, 12, 9, 14, 5]",836,2024-09-29 02:47:43.018465,2024-09-29 02:47:43.098826,0.080361
GA-N,121,15,"[5, 14, 13, 11, 3, 1, 6, 4, 8, 7, 12, 9, 2, 0, 10]",798,2024-09-29 02:47:43.099227,2024-09-29 02:47:43.182200,0.082973
B&B,122,15,"[0, 8, 12, 7, 9, 4, 3, 2, 14, 11, 6, 1, 10, 5, 13]",525,2024-09-29 02:47:43.182455,2024-09-29 02:48:00.208326,17.025871
GA-P,122,15,"[5, 10, 1, 6, 2, 13, 0, 8, 12, 4, 3, 14, 11, 9, 7]",571,2024-09-29 02:48:00.208744,2024-09-29 02:48:00.287860,0.079116
GA-N,122,15,"[6, 11, 14, 2, 13, 5, 7, 9, 3, 4, 12, 0, 8, 10, 1]",591,2024-09-29 02:48:00.288205,2024-09-29 02:48:00.389267,0.101062
B&B,123,15,"[0, 7, 4, 14, 5, 6, 3, 11, 8, 10, 9, 12, 13, 1, 2]",330,2024-09-29 02:48:00.389492,2024-09-29 02:48:03.487596,3.098104
GA-P,123,15,"[0, 7, 4, 14, 6, 5, 9, 12, 13, 1, 10, 8, 3, 11, 2]",395,2024-09-29 02:48:03.487972,2024-09-29 02:48:03.563009,0.075037
GA-N,123,15,"[9, 10, 14, 5, 6, 3, 11, 8, 1, 2, 0, 7, 4, 13, 12]",435,2024-09-29 02:48:03.563328,2024-09-29 02:48:03.764680,0.201352
B&B,124,15,"[0, 4, 2, 8, 10, 1, 9, 13, 11, 3, 12, 7, 14, 5, 6]",661,2024-09-29 02:48:03.765007,2024-09-29 02:48:53.891500,50.126493
GA-P,124,15,"[9, 13, 1, 14, 5, 6, 0, 4, 2, 10, 8, 11, 3, 12, 7]",724,2024-09-29 02:48:53.891889,2024-09-29 02:48:53.969798,0.077909
GA-N,124,15,"[4, 0, 6, 5, 3, 12, 7, 14, 1, 9, 13, 11, 8, 10, 2]",761,2024-09-29 02:48:53.970186,2024-09-29 02:48:54.049839,0.079653
B&B,125,15,"[0, 14, 7, 5, 3, 2, 6, 11, 13, 12, 8, 1, 10, 9, 4]",447,2024-09-29 02:48:54.050000,2024-09-29 02:49:12.497072,18.447072
GA-P,125,15,"[13, 11, 6, 5, 3, 2, 10, 1, 0, 4, 9, 7, 14, 8, 12]",493,2024-09-29 02:49:12.497585,2024-09-29 02:49:12.586141,0.088556
GA-N,125,15,"[6, 5, 3, 2, 1, 8, 14, 7, 0, 11, 13, 12, 10, 9, 4]",547,2024-09-29 02:49:12.586523,2024-09-29 02:49:12.675788,0.089265
B&B,126,15,"[0, 10, 3, 1, 9, 14, 4, 5, 13, 11, 8, 12, 7, 6, 2]",641,2024-09-29 02:49:12.676010,2024-09-29 02:49:35.267117,22.591107
GA-P,126,15,"[12, 13, 5, 4, 7, 8, 11, 1, 3, 10, 0, 6, 2, 9, 14]",821,2024-09-29 02:49:35.267624,2024-09-29 02:49:35.377818,0.110194
GA-N,126,15,"[2, 0, 10, 3, 1, 9, 14, 12, 13, 5, 4, 11, 8, 7, 6]",679,2024-09-29 02:49:35.378175,2024-09-29 02:49:35.462420,0.084245
B&B,127,15,"[0, 4, 7, 10, 2, 1, 13, 3, 6, 8, 12, 11, 9, 14, 5]",891,2024-09-29 02:49:35.462635,2024-09-29 02:51:34.113709,118.651074
GA-P,127,15,"[4, 7, 10, 2, 1, 13, 3, 6, 8, 12, 11, 9, 14, 5, 0]",891,2024-09-29 02:51:34.114148,2024-09-29 02:51:34.297872,0.183724
GA-N,127,15,"[7, 10, 5, 0, 12, 8, 6, 3, 13, 9, 11, 1, 2, 14, 4]",1037,2024-09-29 02:51:34.298231,2024-09-29 02:51:34.399013,0.100782
B&B,128,15,"[0, 4, 7, 11, 5, 13, 3, 10, 8, 6, 1, 12, 14, 9, 2]",498,2024-09-29 02:51:34.399171,2024-09-29 02:52:35.029170,60.629999
GA-P,128,15,"[6, 1, 12, 14, 0, 4, 10, 9, 2, 7, 11, 5, 13, 3, 8]",504,2024-09-29 02:52:35.029739,2024-09-29 02:52:35.153655,0.123916
GA-N,128,15,"[0, 14, 9, 2, 13, 5, 11, 7, 3, 10, 8, 6, 1, 12, 4]",523,2024-09-29 02:52:35.154024,2024-09-29 02:52:35.333592,0.179568
B&B,129,15,"[0, 10, 4, 3, 14, 13, 8, 2, 12, 7, 5, 11, 1, 6, 9]",362,2024-09-29 02:52:35.334003,2024-09-29 02:52:38.517469,3.183466
GA-P,129,15,"[6, 9, 0, 10, 4, 3, 14, 13, 8, 2, 12, 7, 5, 11, 1]",362,2024-09-29 02:52:38.517825,2024-09-29 02:52:38.623890,0.106065
GA-N,129,15,"[14, 1, 6, 11, 5, 7, 12, 8, 2, 3, 4, 10, 0, 9, 13]",452,2024-09-29 02:52:38.624216,2024-09-29 02:52:38.746710,0.122494
B&B,130,16,"[0, 3, 14, 10, 4, 6, 1, 8, 2, 9, 12, 11, 5, 13, 7, 15]",605,2024-09-29 02:52:38.747202,2024-09-29 02:53:40.460313,61.713111
GA-P,130,16,"[3, 0, 15, 7, 12, 11, 5, 13, 8, 2, 9, 1, 6, 4, 10, 14]",635,2024-09-29 02:53:40.460748,2024-09-29 02:53:40.576353,0.115605
GA-N,130,16,"[15, 14, 10, 8, 2, 0, 3, 4, 6, 1, 9, 12, 11, 5, 13, 7]",748,2024-09-29 02:53:40.576782,2024-09-29 02:53:40.701870,0.125088
B&B,131,16,"[0, 5, 14, 10, 15, 7, 9, 12, 13, 1, 4, 2, 3, 11, 6, 8]",337,2024-09-29 02:53:40.702211,2024-09-29 02:53:54.036597,13.334386
GA-P,131,16,"[10, 14, 5, 0, 8, 6, 13, 12, 9, 7, 15, 11, 3, 2, 4, 1]",342,2024-09-29 02:53:54.037043,2024-09-29 02:53:54.126337,0.089294
GA-N,131,16,"[13, 1, 4, 10, 14, 5, 0, 8, 6, 11, 3, 2, 7, 15, 9, 12]",376,2024-09-29 02:53:54.126784,2024-09-29 02:53:54.363233,0.236449
B&B,132,16,"[0, 1, 12, 2, 13, 11, 5, 14, 6, 8, 15, 3, 7, 9, 10, 4]",511,2024-09-29 02:53:54.363738,2024-09-29 02:55:43.171107,108.807369
GA-P,132,16,"[8, 6, 14, 5, 10, 9, 4, 7, 3, 15, 11, 13, 12, 1, 0, 2]",565,2024-09-29 02:55:43.171569,2024-09-29 02:55:43.267186,0.095617
GA-N,132,16,"[1, 12, 14, 6, 8, 15, 3, 7, 0, 2, 13, 11, 5, 10, 9, 4]",556,2024-09-29 02:55:43.267581,2024-09-29 02:55:43.466540,0.198959
B&B,133,16,"[0, 6, 4, 14, 5, 1, 13, 10, 2, 9, 8, 15, 11, 7, 3, 12]",675,2024-09-29 02:55:43.466902,2024-09-29 02:57:43.020550,119.553648
GA-P,133,16,"[10, 8, 2, 9, 12, 3, 7, 11, 15, 6, 4, 14, 5, 1, 13, 0]",736,2024-09-29 02:57:43.020985,2024-09-29 02:57:43.251003,0.230018
GA-N,133,16,"[5, 9, 2, 10, 8, 15, 11, 7, 3, 12, 0, 6, 4, 14, 13, 1]",686,2024-09-29 02:57:43.251640,2024-09-29 02:57:43.423108,0.171468
B&B,134,16,"[0, 3, 4, 8, 7, 6, 14, 13, 10, 12, 1, 11, 5, 15, 2, 9]",829,2024-09-29 02:57:43.423281,2024-09-29 03:14:31.411576,1007.988295
GA-P,134,16,"[8, 7, 6, 9, 0, 3, 12, 10, 13, 14, 2, 1, 15, 5, 11, 4]",936,2024-09-29 03:14:31.412009,2024-09-29 03:14:31.492433,0.080424
GA-N,134,16,"[9, 2, 14, 13, 10, 12, 3, 4, 11, 1, 8, 7, 5, 15, 0, 6]",977,2024-09-29 03:14:31.492823,2024-09-29 03:14:31.573876,0.081053
B&B,135,16,"[0, 8, 11, 5, 14, 6, 3, 7, 9, 10, 13, 12, 4, 2, 1, 15]",561,2024-09-29 03:14:31.574052,2024-09-29 03:16:19.854449,108.280397
GA-P,135,16,"[12, 5, 14, 15, 10, 9, 7, 3, 6, 13, 0, 8, 11, 1, 2, 4]",716,2024-09-29 03:16:19.854886,2024-09-29 03:16:19.966291,0.111405
GA-N,135,16,"[6, 14, 5, 11, 8, 0, 15, 1, 2, 4, 12, 13, 10, 9, 7, 3]",561,2024-09-29 03:16:19.966657,2024-09-29 03:16:20.122299,0.155642
B&B,136,16,"[0, 9, 7, 15, 4, 10, 13, 12, 5, 2, 1, 6, 8, 3, 14, 11]",389,2024-09-29 03:16:20.122644,2024-09-29 03:16:30.200224,10.07758
GA-P,136,16,"[14, 9, 7, 3, 8, 6, 1, 2, 5, 12, 13, 10, 4, 15, 0, 11]",410,2024-09-29 03:16:30.200657,2024-09-29 03:16:30.364977,0.16432
GA-N,136,16,"[8, 6, 1, 2, 5, 15, 4, 10, 13, 12, 3, 7, 9, 0, 14, 11]",457,2024-09-29 03:16:30.365342,2024-09-29 03:16:30.485265,0.119923
B&B,137,16,"[0, 8, 14, 1, 13, 2, 9, 7, 11, 3, 12, 4, 10, 15, 5, 6]",554,2024-09-29 03:16:30.485441,2024-09-29 03:16:48.829810,18.344369
GA-P,137,16,"[14, 1, 13, 2, 9, 7, 11, 3, 12, 4, 10, 15, 5, 6, 0, 8]",554,2024-09-29 03:16:48.830239,2024-09-29 03:16:48.913292,0.083053
GA-N,137,16,"[13, 9, 2, 4, 12, 3, 11, 7, 10, 15, 5, 6, 0, 8, 14, 1]",693,2024-09-29 03:16:48.913662,2024-09-29 03:16:49.039038,0.125376
B&B,138,16,"[0, 7, 5, 8, 1, 12, 14, 15, 2, 11, 6, 4, 13, 3, 10, 9]",558,2024-09-29 03:16:49.039395,2024-09-29 03:18:58.999413,129.960018
GA-P,138,16,"[1, 0, 7, 5, 8, 12, 14, 4, 6, 11, 2, 15, 10, 9, 3, 13]",625,2024-09-29 03:18:58.999865,2024-09-29 03:18:59.229780,0.229915
GA-N,138,16,"[10, 9, 0, 1, 12, 7, 5, 8, 11, 6, 4, 14, 15, 2, 13, 3]",582,2024-09-29 03:18:59.230341,2024-09-29 03:18:59.416559,0.186218
B&B,139,16,"[0, 13, 14, 7, 12, 8, 9, 11, 10, 1, 5, 15, 4, 6, 2, 3]",587,2024-09-29 03:18:59.416803,2024-09-29 03:20:55.011904,115.595101
GA-P,139,16,"[10, 1, 7, 12, 6, 2, 3, 0, 5, 8, 9, 11, 14, 13, 4, 15]",655,2024-09-29 03:20:55.012334,2024-09-29 03:20:55.159934,0.1476
GA-N,139,16,"[15, 4, 13, 14, 7, 12, 11, 10, 1, 8, 9, 6, 2, 3, 0, 5]",650,2024-09-29 03:20:55.160295,2024-09-29 03:20:55.343749,0.183454
B&B,140,17,"[0, 13, 9, 7, 6, 4, 10, 14, 3, 15, 2, 8, 16, 5, 12, 1, 11]",461,2024-09-29 03:20:55.343964,2024-09-29 03:22:54.778227,119.434263
GA-P,140,17,"[7, 16, 5, 12, 1, 11, 0, 13, 9, 14, 3, 15, 2, 8, 10, 4, 6]",534,2024-09-29 03:22:54.778698,2024-09-29 03:22:54.987378,0.20868
GA-N,140,17,"[7, 6, 0, 13, 9, 15, 2, 8, 4, 10, 14, 3, 11, 1, 12, 5, 16]",681,2024-09-29 03:22:54.987972,2024-09-29 03:22:55.198850,0.210878
B&B,141,17,"[0, 12, 7, 14, 5, 10, 13, 3, 11, 1, 6, 15, 8, 16, 2, 4, 9]",685,2024-09-29 03:22:55.199228,2024-09-29 03:32:15.283249,560.084021
GA-P,141,17,"[0, 12, 7, 14, 13, 10, 5, 16, 8, 9, 4, 2, 3, 11, 6, 15, 1]",725,2024-09-29 03:32:15.283723,2024-09-29 03:32:15.463249,0.179526
GA-N,141,17,"[7, 15, 6, 4, 2, 8, 16, 5, 14, 13, 3, 11, 1, 0, 9, 10, 12]",871,2024-09-29 03:32:15.463735,2024-09-29 03:32:15.582789,0.119054
B&B,142,17,"[0, 15, 7, 1, 6, 11, 4, 13, 12, 8, 14, 10, 9, 16, 3, 2, 5]",401,2024-09-29 03:32:15.582986,2024-09-29 03:32:43.148314,27.565328
GA-P,142,17,"[3, 16, 9, 10, 14, 8, 12, 13, 4, 11, 6, 1, 7, 15, 0, 5, 2]",401,2024-09-29 03:32:43.148938,2024-09-29 03:32:43.288063,0.139125
GA-N,142,17,"[8, 16, 9, 2, 5, 0, 15, 7, 1, 6, 11, 4, 13, 12, 3, 10, 14]",503,2024-09-29 03:32:43.288467,2024-09-29 03:32:43.445349,0.156882
B&B,143,17,"[0, 11, 10, 9, 13, 2, 7, 14, 16, 5, 1, 3, 6, 4, 15, 8, 12]",533,2024-09-29 03:32:43.445556,2024-09-29 03:33:32.095108,48.649552
GA-P,143,17,"[14, 16, 5, 1, 0, 11, 12, 2, 13, 9, 10, 8, 15, 4, 6, 3, 7]",607,2024-09-29 03:33:32.095576,2024-09-29 03:33:32.308640,0.213064
GA-N,143,17,"[13, 3, 15, 4, 6, 7, 14, 16, 5, 1, 9, 8, 10, 11, 0, 12, 2]",587,2024-09-29 03:33:32.309215,2024-09-29 03:33:32.498172,0.188957
B&B,144,17,"[0, 11, 16, 13, 6, 5, 7, 15, 2, 10, 8, 9, 12, 1, 4, 3, 14]",678,2024-09-29 03:33:32.498433,2024-09-29 03:39:35.457759,362.959326
GA-P,144,17,"[15, 7, 1, 11, 16, 3, 4, 13, 6, 5, 10, 8, 12, 9, 14, 0, 2]",834,2024-09-29 03:39:35.458248,2024-09-29 03:39:35.573492,0.115244
GA-N,144,17,"[3, 14, 5, 6, 10, 8, 9, 12, 1, 7, 15, 2, 0, 11, 16, 13, 4]",766,2024-09-29 03:39:35.573904,2024-09-29 03:39:35.714349,0.140445
B&B,145,17,"[0, 1, 4, 10, 15, 9, 8, 12, 14, 7, 16, 3, 6, 2, 11, 5, 13]",504,2024-09-29 03:39:35.714710,2024-09-29 03:41:27.050838,111.336128
GA-P,145,17,"[7, 14, 2, 6, 16, 3, 8, 12, 4, 10, 15, 9, 11, 5, 13, 0, 1]",603,2024-09-29 03:41:27.051314,2024-09-29 03:41:27.314693,0.263379
GA-N,145,17,"[9, 15, 1, 4, 10, 5, 13, 0, 3, 8, 12, 14, 2, 6, 16, 7, 11]",705,2024-09-29 03:41:27.315296,2024-09-29 03:41:27.476100,0.160804
B&B,146,17,"[0, 8, 5, 4, 11, 9, 12, 7, 15, 2, 1, 6, 13, 10, 3, 14, 16]",574,2024-09-29 03:41:27.476288,2024-09-29 03:43:31.846820,124.370532
GA-P,146,17,"[1, 8, 0, 3, 10, 14, 2, 4, 5, 16, 7, 15, 13, 6, 12, 9, 11]",943,2024-09-29 03:43:31.847324,2024-09-29 03:43:31.957221,0.109897
GA-N,146,17,"[9, 11, 1, 13, 10, 3, 14, 2, 15, 7, 16, 0, 8, 5, 4, 6, 12]",832,2024-09-29 03:43:31.957634,2024-09-29 03:43:32.134321,0.176687
B&B,147,17,"[0, 1, 10, 7, 12, 8, 11, 13, 6, 16, 2, 5, 14, 4, 9, 15, 3]",568,2024-09-29 03:43:32.134689,2024-09-29 03:44:47.453470,75.318781
GA-P,147,17,"[5, 11, 13, 6, 16, 3, 15, 10, 7, 12, 8, 0, 1, 2, 9, 4, 14]",747,2024-09-29 03:44:47.454005,2024-09-29 03:44:47.643617,0.189612
GA-N,147,17,"[14, 12, 7, 10, 6, 16, 2, 5, 11, 8, 0, 1, 13, 3, 15, 9, 4]",810,2024-09-29 03:44:47.644066,2024-09-29 03:44:47.825780,0.181714
B&B,148,17,"[0, 10, 11, 4, 5, 9, 14, 13, 16, 8, 2, 3, 6, 12, 15, 1, 7]",463,2024-09-29 03:44:47.825991,2024-09-29 03:45:52.027620,64.201629
GA-P,148,17,"[12, 15, 1, 7, 0, 4, 11, 6, 3, 10, 13, 14, 9, 5, 2, 8, 16]",626,2024-09-29 03:45:52.028178,2024-09-29 03:45:52.138139,0.109961
GA-N,148,17,"[15, 12, 16, 8, 2, 3, 6, 4, 1, 7, 0, 10, 11, 13, 14, 9, 5]",612,2024-09-29 03:45:52.138581,2024-09-29 03:45:52.266821,0.12824
B&B,149,17,"[0, 3, 1, 7, 5, 12, 8, 15, 16, 4, 2, 6, 13, 10, 11, 9, 14]",532,2024-09-29 03:45:52.267186,2024-09-29 03:48:07.612015,135.344829
GA-P,149,17,"[3, 1, 7, 5, 12, 16, 4, 2, 6, 13, 10, 11, 9, 14, 8, 15, 0]",556,2024-09-29 03:48:07.612516,2024-09-29 03:48:07.857113,0.244597
GA-N,149,17,"[7, 15, 16, 4, 10, 14, 0, 3, 1, 9, 11, 13, 6, 2, 8, 12, 5]",651,2024-09-29 03:48:07.857738,2024-09-29 03:48:08.066382,0.208644
B&B,150,18,"[0, 2, 5, 11, 10, 8, 6, 3, 9, 15, 14, 16, 12, 13, 4, 1, 7, 17]",567,2024-09-29 03:48:08.066863,2024-09-29 04:02:59.424184,891.357321
GA-P,150,18,"[1, 7, 4, 2, 5, 11, 10, 8, 6, 15, 0, 17, 12, 13, 9, 3, 16, 14]",669,2024-09-29 04:02:59.424703,2024-09-29 04:02:59.615110,0.190407
GA-N,150,18,"[12, 13, 9, 16, 3, 11, 10, 14, 1, 7, 4, 2, 5, 8, 6, 15, 0, 17]",800,2024-09-29 04:02:59.615606,2024-09-29 04:02:59.738708,0.123102
B&B,151,18,"[0, 9, 16, 4, 10, 3, 5, 6, 1, 14, 15, 7, 12, 2, 8, 13, 11, 17]",697,2024-09-29 04:02:59.738936,2024-09-29 04:49:24.312562,2784.573626
GA-P,151,18,"[2, 12, 7, 17, 1, 9, 0, 16, 4, 6, 5, 3, 10, 14, 15, 11, 13, 8]",813,2024-09-29 04:49:24.313128,2024-09-29 04:49:24.467286,0.154158
GA-N,151,18,"[6, 13, 9, 1, 14, 15, 7, 12, 8, 2, 11, 17, 0, 16, 4, 10, 3, 5]",809,2024-09-29 04:49:24.467821,2024-09-29 04:49:24.646871,0.17905
B&B,152,18,"[0, 9, 17, 11, 6, 14, 13, 12, 2, 4, 1, 10, 15, 5, 7, 8, 3, 16]",579,2024-09-29 04:49:24.647231,2024-09-29 05:14:09.610152,1484.962921
GA-P,152,18,"[10, 15, 0, 9, 17, 11, 3, 16, 5, 7, 8, 6, 14, 13, 12, 2, 4, 1]",600,2024-09-29 05:14:09.610675,2024-09-29 05:14:09.874126,0.263451
GA-N,152,18,"[3, 8, 0, 12, 16, 5, 7, 6, 14, 13, 9, 2, 4, 1, 10, 15, 17, 11]",704,2024-09-29 05:14:09.874754,2024-09-29 05:14:10.026754,0.152
B&B,153,18,"[0, 15, 5, 17, 1, 3, 16, 2, 14, 4, 13, 10, 12, 6, 8, 9, 7, 11]",740,2024-09-29 05:14:10.026960,2024-09-29 06:00:47.059601,2797.032641
GA-P,153,18,"[3, 10, 13, 4, 15, 0, 11, 7, 9, 8, 6, 12, 14, 2, 16, 5, 17, 1]",761,2024-09-29 06:00:47.060129,2024-09-29 06:00:47.188233,0.128104
GA-N,153,18,"[11, 7, 9, 8, 6, 12, 14, 4, 15, 0, 5, 17, 1, 3, 16, 2, 13, 10]",815,2024-09-29 06:00:47.188724,2024-09-29 06:00:47.417663,0.228939
B&B,154,18,"[0, 4, 13, 11, 15, 10, 17, 16, 6, 8, 3, 2, 1, 5, 14, 9, 12, 7]",555,2024-09-29 06:00:47.417991,2024-09-29 06:10:11.484468,564.066477
GA-P,154,18,"[9, 12, 7, 10, 17, 1, 5, 14, 16, 6, 0, 4, 13, 11, 15, 8, 3, 2]",608,2024-09-29 06:10:11.484990,2024-09-29 06:10:11.656177,0.171187
GA-N,154,18,"[1, 8, 3, 2, 17, 10, 7, 12, 16, 6, 0, 4, 13, 11, 15, 9, 14, 5]",756,2024-09-29 06:10:11.656653,2024-09-29 06:10:11.844629,0.187976
B&B,155,18,"[0, 8, 16, 6, 14, 7, 11, 12, 3, 10, 15, 4, 2, 9, 5, 13, 1, 17]",609,2024-09-29 06:10:11.844872,2024-09-29 06:29:55.993740,1184.148868
GA-P,155,18,"[16, 3, 10, 15, 12, 11, 7, 14, 6, 17, 0, 8, 4, 1, 13, 5, 2, 9]",657,2024-09-29 06:29:55.994425,2024-09-29 06:29:56.207673,0.213248
GA-N,155,18,"[0, 7, 11, 13, 5, 2, 4, 1, 3, 16, 8, 12, 10, 15, 9, 14, 6, 17]",763,2024-09-29 06:29:56.208331,2024-09-29 06:29:56.398781,0.19045
B&B,156,18,"[0, 5, 7, 4, 17, 9, 6, 15, 3, 2, 16, 8, 12, 13, 10, 11, 1, 14]",664,2024-09-29 06:29:56.398991,2024-09-29 06:53:16.291374,1399.892383
GA-P,156,18,"[9, 8, 12, 16, 2, 3, 15, 6, 17, 4, 7, 10, 13, 5, 0, 14, 1, 11]",740,2024-09-29 06:53:16.292088,2024-09-29 06:53:16.485949,0.193861
GA-N,156,18,"[13, 12, 16, 8, 9, 10, 7, 4, 17, 15, 6, 11, 1, 14, 3, 2, 0, 5]",896,2024-09-29 06:53:16.486402,2024-09-29 06:53:16.642185,0.155783
